(A),Javascript,Matlab,ratio,,,
sample1,22,21,0.95,,,
sample2,46,50,1.09,,,
sample3,77,55,0.71,,,
,,,,,,
(B),Javascript,Matlab,ratio,Matlab(v3),ratio,
sample1,23,3025,131,266,11.6,
sample2,50,3067,61,366,7.3,
sample3,87,3149,36,479,5.5,
,,,,,,
(C),Javascript,Matlab,ratio,,,
sample1,174,1015,5.8,,,
sample2,119,1180,9.9,,,
sample3,160,1290,8,,,
"	",,,,,,
(D),Javascript,Matlab,ratio,,,
sample1,179,956,5.3,,,
sample2,203,1257,6.2,,,
sample3,169,1464,8.7,,,
,,,,,,
(E),Javascript,Matlab,ratio,Matlab(v1),ratio,
sample1,12,911,76,28,2.3,
sample2,24,4836,201,73,3,
sample3,283,31194,110,151,0.5,
,,,,,,
(F),Javascript,Matlab,ratio,Javascript(rev),Matlab,ratio
sample1,119,80,0.67,11,80,7.3
sample2,504,115,0.23,22,115,5.2
sample3,1130,224,0.2,41,224,5.5
