(A),Javascript,Matlab,
sample1,22,21.443,
sample2,46,50.429,
sample3,77,55.304,
,,,
(B),Javascript,Matlab,Matlab(v3)
sample1,23,3025.615,266.483
sample2,50,3067.834,366.563
sample3,87,3149.082,479.451
,,,
(C),Javascript,Matlab,
sample1,174,1015.378,
sample2,119,1180.228,
sample3,160,1290.675,
"	",,,
(D),Javascript,Matlab,
sample1,179,956.495,
sample2,203,1257.054,
sample3,169,1464.66,
,,,
(E),Javascript,Matlab,
sample1,12,911.546,
sample2,24,4836.31,
sample3,283,31194.484,
,,,
(F),Javascript,Matlab,
sample1,119,80.484,
sample2,504,115.022,
sample3,1130,224.647,
