(A)	Javascript	Python	Matlab
sample1	0.038	0.8518	0.0308
sample2	0.082	0.9091	0.0352
sample3	0.145	1.1415	0.056
			
(B)	Javascript	Python	Matlab
sample1	0.039	0.9244	2.2198
sample2	0.083	1.172	2.3037
sample3	0.154	1.3085	2.5729
			
(C)	Javascript	Python	Matlab
sample1	0.158	4.4126	0.7311
sample2	0.135	6.9235	0.8827
sample3	0.132	8.6999	0.8207
			
(D)	Javascript	Python	Matlab
sample1	0.16	4.7971	1.1045
sample2	0.137	7.2279	1.3481
sample3	0.135	9.0577	1.1088
			
(E)	Javascript	Python	Matlab
sample1	0.005	0.2681	1.0995
sample2	0.033	1.2504	4.9854
sample3	0.075	2.7532	1057
